size,lang,task,instruction_models,gamma_instr,gamma_pref,dev_accuracy,test_accuracy
3B,en,AB,BC_CB,0.3,0.6,378,
3B,en,AB,BC_CB,0.3,0.3,376,
3B,en,AB,BC_CB,0.3,0.8999999999999999,371,
3B,en,AB,BC_CB,0.3,1.2,352,
3B,en,AB,BC_CB,0.3,1.5,327,
3B,en,AB,BC_CB,0.3,1.8,288,
3B,en,AB,BC_CB,0.6,0.6,398,394.0
3B,en,AB,BC_CB,0.6,0.3,392,
3B,en,AB,BC_CB,0.6,0.8999999999999999,397,
3B,en,AB,BC_CB,0.6,1.2,390,
3B,en,AB,BC_CB,0.6,1.5,348,
3B,en,AB,BC_CB,0.6,1.8,334,
3B,en,AB,BC_CB,0.8999999999999999,0.3,388,
3B,en,AB,BC_CB,0.8999999999999999,0.6,396,
3B,en,AB,BC_CB,0.8999999999999999,0.8999999999999999,396,
3B,en,AB,BC_CB,0.8999999999999999,1.2,391,
3B,en,AB,BC_CB,0.8999999999999999,1.5,382,
3B,en,AB,BC_CB,0.8999999999999999,1.8,370,
3B,en,AB,BC_CB,1.2,0.3,389,
3B,en,AB,BC_CB,1.2,0.6,396,
3B,en,AB,BC_CB,1.2,0.8999999999999999,394,
3B,en,AB,BC_CB,1.2,1.2,388,
3B,en,AB,BC_CB,1.2,1.5,378,
3B,en,AB,BC_CB,1.2,1.8,368,
3B,en,AB,BC_CB,1.5,0.3,385,
3B,en,AB,BC_CB,1.5,0.6,392,
3B,en,AB,BC_CB,1.5,0.8999999999999999,391,
3B,en,AB,BC_CB,1.5,1.2,385,
3B,en,AB,BC_CB,1.5,1.5,375,
3B,en,AB,BC_CB,1.5,1.8,366,
3B,en,AB,BC_CB,1.8,0.3,379,
3B,en,AB,BC_CB,1.8,0.6,390,
3B,en,AB,BC_CB,1.8,0.8999999999999999,386,
3B,en,AB,BC_CB,1.8,1.2,377,
3B,en,AB,BC_CB,1.8,1.5,372,
3B,en,AB,BC_CB,1.8,1.8,366,
3B,en,AB,BC_CB,2.1,0.3,379,
3B,en,AB,BC_CB,2.1,0.6,384,
3B,en,AB,BC_CB,2.1,0.8999999999999999,382,
3B,en,AB,BC_CB,2.1,1.2,375,
3B,en,AB,BC_CB,2.1,1.5,368,
3B,en,AB,BC_CB,2.1,1.8,360,
3B,en,AB,BC_CB,2.4,0.3,376,
3B,en,AB,BC_CB,2.4,0.6,382,
3B,en,AB,BC_CB,2.4,0.8999999999999999,378,
3B,en,AB,BC_CB,2.4,1.2,373,
3B,en,AB,BC_CB,2.4,1.5,364,
3B,en,AB,BC_CB,2.4,1.8,357,
3B,en,AB,BC_CB,2.7,0.3,374,
3B,en,AB,BC_CB,2.7,0.6,379,
3B,en,AB,BC_CB,2.7,0.8999999999999999,372,
3B,en,AB,BC_CB,2.7,1.2,371,
3B,en,AB,BC_CB,2.7,1.5,362,
3B,en,AB,BC_CB,2.7,1.8,356,
