model_size,language,task,accuracy,correct_count,incorrect_count,option_a_count,option_b_count
1B,en,AB,0.995,398,2,200,200
1B,en,BC,1.0,400,0,200,200
1B,en,CA,1.0,400,0,200,200
1B,en,BA,0.995,398,2,200,200
1B,en,CB,0.995,398,2,198,202
1B,en,AC,1.0,400,0,200,200
1B,hi,AB,0.9875,395,5,197,203
1B,hi,BC,1.0,400,0,200,200
1B,hi,CA,1.0,400,0,200,200
1B,hi,BA,0.99,396,4,202,198
1B,hi,CB,1.0,400,0,200,200
1B,hi,AC,1.0,400,0,200,200
1B,ar,AB,0.995,398,2,200,200
1B,ar,BC,1.0,400,0,200,200
1B,ar,CA,1.0,400,0,200,200
1B,ar,BA,0.995,398,2,200,200
1B,ar,CB,1.0,400,0,200,200
1B,ar,AC,1.0,400,0,200,200
1B,es,AB,0.995,398,2,200,200
1B,es,BC,1.0,400,0,200,200
1B,es,CA,1.0,400,0,200,200
1B,es,BA,0.995,398,2,200,200
1B,es,CB,1.0,400,0,200,200
1B,es,AC,0.9975,399,1,201,199
1B,zh-cn,AB,0.995,398,2,200,200
1B,zh-cn,BC,0.9975,399,1,201,199
1B,zh-cn,CA,1.0,400,0,200,200
1B,zh-cn,BA,0.995,398,2,200,200
1B,zh-cn,CB,1.0,400,0,200,200
1B,zh-cn,AC,0.9975,399,1,201,199
